time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P(Pa)
,0.003,-0.102,-0.991,-0.03,-0.01,-0.05,-0.01,-0.01,0.01,101823.593
2022-10-03 7:2:41.4120,0.001,-0.101,-0.981,-0.02,-0.01,-0.07,-0.0,-0.0,0.009049154818058014,101823.593
2022-10-03 7:2:41.4170,0.003,-0.101,-0.986,-0.02,-0.02,-0.1,-0.0,-0.01,0.01,101823.593
2022-10-03 7:2:41.4260,0.001,-0.102,-0.985,-0.02,-0.02,-0.13,-0.01,-0.0,0.01,101823.593
2022-10-03 7:2:41.4360,-0.0,-0.102,-0.985,-0.03,-0.01,-0.08,-0.01,-0.01,0.01,101823.593
2022-10-03 7:2:41.4460,0.001,-0.103,-0.987,0.0,-0.01,-0.12,-0.01,-0.0,0.01,101823.593
2022-10-03 7:2:41.4560,0.001,-0.103,-0.985,-0.01,0.0,-0.11,-0.0,-0.0,0.01,101823.593
2022-10-03 7:2:41.4670,0.001,-0.103,-0.988,-0.01,0.0,-0.11,-0.0,-0.0,0.02,101823.593
2022-10-03 7:2:41.4770,0.0,-0.103,-0.988,-0.01,0.0,-0.08,-0.01,-0.01,0.01,101823.593
2022-10-03 7:2:41.4870,0.001,-0.103,-0.987,0.0,0.01,-0.07,-0.01,-0.01,0.02,101823.593
2022-10-03 7:2:41.4970,0.001,-0.102,-0.985,-0.01,0.0,-0.08,-0.0,-0.01,0.01,101823.593
2022-10-03 7:2:41.5070,0.002,-0.102,-0.985,-0.02,0.0,-0.1,-0.0,-0.01,0.01,101823.593
2022-10-03 7:2:41.5170,0.002,-0.1,-0.984,-0.02,-0.01,-0.1,-0.01,-0.0,0.01,101823.593
2022-10-03 7:2:41.5270,0.003,-0.1,-0.984,-0.02,-0.02,-0.1,-0.01,-0.0,0.01,101823.593
2022-10-03 7:2:41.5370,0.004,-0.1,-0.984,-0.03,-0.03,-0.11,-0.01,-0.01,0.01,101823.593
2022-10-03 7:2:41.5480,0.004,-0.099,-0.984,-0.04,-0.04,-0.11,-0.01,-0.01,0.01,101823.593
2022-10-03 7:2:41.5570,0.004,-0.1,-0.985,-0.04,-0.03,-0.1,-0.01,-0.0,0.01,101823.593
2022-10-03 7:2:41.5670,0.004,-0.099,-0.985,-0.04,-0.03,-0.1,-0.0,-0.01,0.01,101823.593
2022-10-03 7:2:41.5770,0.004,-0.098,-0.985,-0.04,-0.03,-0.1,-0.01,-0.0,0.01,101823.593
2022-10-03 7:2:41.5870,0.003,-0.098,-0.986,-0.03,-0.05,-0.09,-0.01,-0.01,0.01,101823.593
2022-10-03 7:2:41.5960,0.003,-0.099,-0.986,-0.03,-0.05,-0.09,-0.01,-0.0,0.02,101823.593
2022-10-03 7:2:41.6060,0.003,-0.099,-0.987,-0.03,-0.04,-0.08,-0.01,-0.01,0.02,101823.593
2022-10-03 7:2:41.6170,0.002,-0.098,-0.986,-0.02,-0.04,-0.08,-0.01,-0.01,0.01,101823.593
2022-10-03 7:2:41.6260,0.001,-0.099,-0.986,-0.02,-0.04,-0.08,-0.01,-0.01,0.01,101823.593
2022-10-03 7:2:41.6360,0.001,-0.099,-0.986,-0.01,-0.05,-0.09,-0.0,-0.01,0.02,101823.593
2022-10-03 7:2:41.6460,0.002,-0.099,-0.986,-0.01,-0.04,-0.09,-0.01,-0.01,0.02,101823.593
2022-10-03 7:2:41.6560,0.002,-0.097,-0.985,-0.01,-0.04,-0.09,-0.01,-0.01,0.02,101823.593
2022-10-03 7:2:41.6660,0.002,-0.098,-0.986,-0.02,-0.05,-0.1,-0.01,-0.01,0.02,101823.593
2022-10-03 7:2:41.6760,0.001,-0.097,-0.985,-0.02,-0.05,-0.1,-0.01,-0.0,0.02,101823.593
2022-10-03 7:2:41.6860,0.002,-0.096,-0.984,-0.01,-0.06284689709544182,-0.09943073272705079,-0.01,-0.0,0.02,101823.593
2022-10-03 7:2:41.6960,0.002,-0.095,-0.985,-0.01,-0.07,-0.1,-0.01,-0.0,0.02,101823.593
2022-10-03 7:2:41.7060,0.003,-0.095,-0.986,-0.02,-0.07,-0.11,-0.0,-0.0,0.01,101823.593
2022-10-03 7:2:41.7160,0.003,-0.096,-0.986,-0.02,-0.08,-0.09,-0.0,-0.0,0.01,101823.593
2022-10-03 7:2:41.7270,0.004,-0.097,-0.987,-0.03,-0.08,-0.09,-0.01,-0.0,0.02,101823.593
2022-10-03 7:2:41.7360,0.002,-0.098,-0.988,-0.02,-0.06,-0.07,-0.0,-0.0,0.01,101823.593
2022-10-03 7:2:41.7460,0.002,-0.1,-0.989,-0.02,-0.04,-0.06,-0.0,-0.0,0.01,101823.593
2022-10-03 7:2:41.7560,0.002,-0.1,-0.988,-0.02,-0.04,-0.06,-0.01,-0.0,0.02,101823.593
2022-10-03 7:2:41.7660,0.001,-0.1,-0.988,-0.01,-0.03,-0.08,-0.01,-0.0,0.02,101823.593
2022-10-03 7:2:41.7760,-0.0,-0.099,-0.988,-0.01,-0.03,-0.08,-0.0,0.0,0.02,101823.593
2022-10-03 7:2:41.7850,-0.001,-0.1,-0.988,0.01,-0.04,-0.06,-0.01,0.0,0.02,101823.593
2022-10-03 7:2:41.7950,-0.003,-0.1,-0.988,0.03,-0.03,-0.07,-0.01,0.0,0.02,101823.593
2022-10-03 7:2:41.8050,-0.002,-0.098,-0.987,0.03,-0.03,-0.07,-0.01,-0.0,0.02,101823.593
2022-10-03 7:2:41.8150,-0.002,-0.098,-0.987,0.03,-0.04,-0.08,-0.0,0.0,0.01,101823.593
2022-10-03 7:2:41.8250,-0.001,-0.098,-0.987,0.02,-0.06,-0.07,-0.01,0.0,0.01,101823.593
2022-10-03 7:2:41.8360,-0.001,-0.097,-0.988,0.02,-0.06,-0.09,-0.0,0.0,0.02,101823.593
2022-10-03 7:2:41.8450,-0.001,-0.099,-0.989,0.02,-0.05,-0.07,-0.01,0.0,0.02,101823.593
2022-10-03 7:2:41.8560,-0.001,-0.099,-0.991,0.02,-0.05,-0.07,-0.0,0.0,0.02,101823.593
2022-10-03 7:2:41.8660,-0.0,-0.099,-0.991,0.02,-0.04,-0.04,-0.0,0.0,0.02,101823.593
2022-10-03 7:2:41.8760,0.0,-0.1,-0.993,0.02,-0.04,-0.04,-0.0,0.0,0.01,101823.593
2022-10-03 7:2:41.8860,0.002,-0.1,-0.992,0.0,-0.03,-0.03,-0.0,0.0,0.02,101823.593
2022-10-03 7:2:41.8960,0.003,-0.1,-0.992,-0.02,-0.04,-0.03,-0.0,0.0,0.01,101823.593
2022-10-03 7:2:41.9050,0.003,-0.101,-0.991,-0.02,-0.04,-0.03,-0.01,0.0,0.01,101823.593
2022-10-03 7:2:41.9150,0.001,-0.102,-0.989,-0.01,-0.02,-0.05,-0.0,0.0,0.01,101823.593
2022-10-03 7:2:41.9250,-0.0,-0.103,-0.989,-0.01,-0.02,-0.05,-0.0,0.0,0.02,101823.593
2022-10-03 7:2:41.9350,0.002,-0.103,-0.99,0.01,-0.01,-0.05,-0.0,0.0,0.01,101823.593
2022-10-03 7:2:41.9450,0.001,-0.103,-0.991,0.01,-0.01,-0.05,-0.0,0.0,0.01,101823.593
2022-10-03 7:2:41.9550,-0.001,-0.103,-0.992,0.02,0.0,-0.04,-0.0,-0.0,0.01,101823.593
2022-10-03 7:2:41.9650,-0.002,-0.099,-0.995,0.03,-0.03,-0.01,-0.01,-0.01,0.01,101823.593
2022-10-03 7:2:41.9750,-0.006,-0.096,-0.999,0.03,-0.05751438260078431,0.02388353705406189,-0.01,-0.01,0.01,101823.593
2022-10-03 7:2:41.9850,-0.015,-0.092,-1.008,0.13,-0.09,0.08,0.01,0.0,0.01,101823.593
2022-10-03 7:2:41.9950,-0.037,-0.091,-0.986,0.13,-0.09,0.08,0.0,0.02,0.02,101823.593
2022-10-03 7:2:42.0050,-0.051,-0.1,-0.98,0.5,-0.07,-0.16,-0.01,0.05,0.02,101823.593
2022-10-03 7:2:42.0130,-0.038,-0.1,-0.965,0.5,-0.07,-0.16,0.0,0.05,0.02,101823.593
2022-10-03 7:2:42.0230,-0.001,-0.114,-0.969,0.17,0.02,-0.29,0.0,0.04,0.02,101823.593
2022-10-03 7:2:42.0330,0.022,-0.132,-0.973,0.17,0.02,-0.29,0.0,0.04,0.02,101823.593
2022-10-03 7:2:42.0430,0.042,-0.13,-0.976,-0.12,0.22,-0.25,-0.03,0.01,0.01,101823.593
2022-10-03 7:2:42.0530,0.061,-0.102,-1.0,-0.28,0.29,-0.16,-0.02,-0.01,0.0,101823.593
2022-10-03 7:2:42.0640,0.043,-0.08,-1.007,-0.53,0.11,-0.1,-0.01,-0.01,0.01,101823.593
2022-10-03 7:2:42.0740,0.003,-0.068,-1.009,-0.48,-0.18,0.13,0.0,-0.0,0.01,101823.593
2022-10-03 7:2:42.0840,-0.037,-0.071,-0.983,-0.17,-0.33,0.14,0.0,0.02,0.01,101823.593
2022-10-03 7:2:42.0940,-0.04,-0.08,-0.988,0.29,-0.34,-0.03,0.01,0.03,0.02,101823.593
2022-10-03 7:2:42.1040,-0.016,-0.092,-0.977,0.46,-0.28,-0.12,-0.0,0.03,0.02,101823.593
2022-10-03 7:2:42.1140,0.004,-0.097,-0.976,0.29,-0.15,-0.09,-0.01,0.03,0.02,101823.593
2022-10-03 7:2:42.1240,0.019,-0.097,-0.974,0.07,-0.09,-0.22,-0.01,0.01,0.01,101823.593
2022-10-03 7:2:42.1340,0.014,-0.094,-0.983,-0.11,-0.06,-0.19,-0.01,0.01,0.01,101823.593
2022-10-03 7:2:42.1440,0.004,-0.096,-0.974,-0.12,-0.09,-0.14,-0.0,0.01,0.01,101823.448
2022-10-03 7:2:42.1540,-0.008,-0.105,-0.986,0.09,-0.03,-0.11,-0.01,0.02,0.01,101823.448
2022-10-03 7:2:42.1640,-0.011,-0.112,-0.983,0.09,-0.03,-0.11,-0.01,0.02,0.01,101823.448
2022-10-03 7:2:42.1740,0.006,-0.112,-1.007,0.19,0.06,-0.14,-0.01,0.02,0.01,101823.448
2022-10-03 7:2:42.1840,0.02,-0.108,-1.0,-0.07921628694981336,0.06,0.07,-0.01,0.01,0.01,101823.448
2022-10-03 7:2:42.1940,0.03,-0.106,-0.999,-0.08,0.06,0.07,-0.01,0.0,0.01,101823.448
2022-10-03 7:2:42.2030,0.026,-0.101,-0.994,-0.21,0.03,0.06,-0.01,0.0,0.01,101823.448
2022-10-03 7:2:42.2140,0.018,-0.102,-0.987,-0.22,-0.02,-0.02,-0.0,-0.0,0.01,101823.448
2022-10-03 7:2:42.2230,0.016,-0.102,-0.983,-0.13,-0.02,-0.03,-0.01,-0.01,0.01,101823.448
2022-10-03 7:2:42.2330,0.009,-0.108,-0.974,-0.1,-0.02,-0.12,-0.01,-0.01,0.01,101823.448
2022-10-03 7:2:42.2430,0.002,-0.113,-0.97,-0.05,0.01,-0.15,-0.01,-0.01,0.01,101823.448
2022-10-03 7:2:42.2530,-0.008,-0.117,-0.97,0.01,0.07,-0.25,-0.01,0.01,0.02,101823.448
2022-10-03 7:2:42.2630,-0.005,-0.121,-0.977,0.11,0.11,-0.24,-0.01,0.01,0.02,101823.448
2022-10-03 7:2:42.2730,0.005,-0.124,-0.984,0.14,0.16,-0.22,-0.01,0.0,0.02,101823.448
2022-10-03 7:2:42.2830,0.007,-0.122,-0.985,0.0,0.18,-0.1,-0.01,-0.0,0.02,101823.448
2022-10-03 7:2:42.2930,0.006,-0.116,-0.98,0.0,0.18,-0.1,-0.01,-0.01,0.01,101823.448
2022-10-03 7:2:42.3030,-0.002,-0.112,-0.975,-0.01,0.15,-0.12,0.01,0.01,0.01,101823.448
2022-10-03 7:2:42.3130,0.021,-0.138,-0.959,0.0,0.24,-0.3,-0.02,-0.01,0.01,101823.448
2022-10-03 7:2:42.3230,0.027,-0.149,-1.003,0.0,0.24,-0.3,0.0,0.0,0.02,101823.448
2022-10-03 7:2:42.3330,-0.012,-0.141,-0.968,0.08,0.41,0.04,-0.02,0.02,0.02,101823.448
2022-10-03 7:2:42.3430,0.007,-0.121,-1.006,0.08,0.41,0.04,-0.03,0.0,0.02,101823.448
2022-10-03 7:2:42.3520,0.027,-0.109,-0.995,0.11,0.24,-0.21,-0.02,0.01,0.02,101823.448
2022-10-03 7:2:42.3620,0.036,-0.104,-1.0,-0.27,0.01,-0.07,-0.01,-0.02,0.02,101823.448
2022-10-03 7:2:42.3730,0.016,-0.109,-0.994,-0.19,0.03,0.12,-0.01,-0.0,0.02,101823.448
2022-10-03 7:2:42.3820,0.007,-0.113,-0.983,0.01,0.09,-0.16,-0.01,-0.01,0.01,101823.448
2022-10-03 7:2:42.3920,0.008,-0.1,-0.988,0.01,0.09,-0.16,-0.01,-0.02,0.01,101823.448
2022-10-03 7:2:42.4020,-0.027,-0.11,-0.967,-0.05,-0.01,-0.06,-0.01,0.03,0.02,101823.448
2022-10-03 7:2:42.4120,-0.01,-0.1,-0.959,0.22,0.08,-0.14,-0.02,-0.01,0.02,101823.448
2022-10-03 7:2:42.4220,0.009,-0.115,-0.972,0.29,-0.05,-0.4,-0.02,-0.01,0.02,101823.448
2022-10-03 7:2:42.4320,0.019,-0.102,-0.977,-0.07,0.01,-0.26,-0.01,-0.0,0.01,101823.448
2022-10-03 7:2:42.4420,0.015,-0.108,-0.999,-0.07,0.01,-0.26,-0.02,0.01,0.01,101823.448
2022-10-03 7:2:42.4520,0.008,-0.107,-0.997,-0.02,0.02,-0.03,-0.02,0.0,0.01,101823.448
2022-10-03 7:2:42.4620,0.008,-0.111,-1.005,-0.02,0.02,-0.03,-0.01,-0.0,0.01,101823.448
2022-10-03 7:2:42.4720,0.007,-0.083,-1.027,0.02,0.13,0.13,0.0,-0.0,0.0,101823.448
2022-10-03 7:2:42.4810,-0.008,-0.117,-1.014,0.04,-0.16,0.24,-0.0,0.01,0.0,101823.448
2022-10-03 7:2:42.4920,-0.001,-0.134,-0.94,0.25,0.45,-0.34,0.0,-0.02,0.01,101823.448
2022-10-03 7:2:42.5020,0.004,-0.116,-1.032,0.25,0.45,-0.34,-0.02,0.01,0.01,101823.448
2022-10-03 7:2:42.5110,0.007,-0.127,-0.962,0.11,0.24,-0.13,-0.01,-0.01,0.0,101823.448
2022-10-03 7:2:42.5210,0.006,-0.128,-1.001,-0.07,0.19,-0.08,0.0,0.01,0.01,101823.448
2022-10-03 7:2:42.5320,-0.008,-0.125,-0.948,-0.07,0.19,-0.08,0.01,0.01,0.01,101823.448
2022-10-03 7:2:42.5410,-0.003,-0.138,-1.02,0.17,0.3,-0.32,-0.01,0.02,0.01,101823.448
2022-10-03 7:2:42.5510,0.017,-0.149,-0.958,0.01,0.47,-0.32,0.0,0.02,0.01,101823.448
2022-10-03 7:2:42.5610,0.037,-0.151,-1.009,0.01,0.47,-0.32,-0.01,0.01,0.01,101823.448
2022-10-03 7:2:42.5710,0.035,-0.156,-0.98,-0.22,0.4,0.09,-0.01,0.01,0.01,101823.448
2022-10-03 7:2:42.5810,0.031,-0.143,-1.002,-0.2,0.46,0.06,-0.01,0.01,0.01,101823.448
2022-10-03 7:2:42.5910,0.032,-0.138,-1.012,-0.2,0.46,0.06,0.0,-0.01,0.01,101823.448
2022-10-03 7:2:42.6010,0.007,-0.133,-1.001,-0.25,0.36,0.08,-0.01,0.0,0.01,101823.448
2022-10-03 7:2:42.6110,0.011,-0.137,-0.993,-0.04,0.27,0.22,0.0,-0.03,0.01,101823.448
2022-10-03 7:2:42.6210,-0.014,-0.125,-0.996,-0.03,0.35,-0.14,0.0,0.0,0.0,101823.448
2022-10-03 7:2:42.6310,-0.003,-0.088,-1.008,0.16,-0.01,0.06,0.0,-0.04,0.0,101823.448
2022-10-03 7:2:42.6410,-0.027,-0.091,-0.985,0.16,-0.01,0.06,0.02,-0.0,-0.0,101823.448
2022-10-03 7:2:42.6510,-0.028,-0.171,-0.973,0.2,-0.34,-0.05,-0.02,-0.05,-0.0,101823.448
2022-10-03 7:2:42.6600,-0.038,-0.05,-1.032,0.45,0.39,-0.22,-0.02,0.02,0.02,101823.448
2022-10-03 7:2:42.6710,0.011,0.057,-1.024,0.31,0.39,0.12,-0.01,-0.03,0.0,101823.448
2022-10-03 7:2:42.6800,0.078,-0.097,-0.991,-0.7,-0.38,-0.46,0.02,-0.05,-0.0,101823.448
2022-10-03 7:2:42.6900,-0.046,-0.068,-1.068,0.01,-0.37,0.62,-0.0,0.07,0.02,101823.448
2022-10-03 7:2:42.7000,-0.074,0.017,-0.979,0.01,-0.37,0.62,0.04,0.03,0.02,101823.448
2022-10-03 7:2:42.7100,0.081,0.113,-0.999,-0.08,-1.98,0.03,0.04,-0.05,0.01,101823.448
2022-10-03 7:2:42.7210,0.146,-0.125,-1.061,-0.08,-1.98,0.03,-0.07,-0.02,0.0,101823.448
2022-10-03 7:2:42.7300,0.096,0.086,-1.043,-1.4,-0.48,1.13,0.05,-0.02,0.0,101823.448
2022-10-03 7:2:42.7400,0.029,0.04,-0.977,-0.3520030766353011,-2.41,0.17,0.08,-0.06,-0.0,101823.448
2022-10-03 7:2:42.7500,-0.053,-0.068,-0.973,-0.36,-2.41,0.17,0.04,-0.01,0.01,101823.448
2022-10-03 7:2:42.7600,-0.047,0.029,-0.966,0.89,-1.12,-0.68,0.06,-0.04,-0.0,101823.448
2022-10-03 7:2:42.7700,0.022,-0.022,-1.059,-0.1,-1.14,1.07,0.0,-0.02,-0.0,101823.448
2022-10-03 7:2:42.7800,0.004,-0.093,-0.892,-0.1,-1.14,1.07,-0.01,-0.03,0.0,101823.448
2022-10-03 7:2:42.7900,-0.02,-0.049,-1.044,0.0,-0.31,-0.86,0.07,-0.02,0.01,101823.448
2022-10-03 7:2:42.8000,-0.033,-0.004,-1.075,0.12,-0.34,-0.48,0.01,0.02,0.0,101823.448
2022-10-03 7:2:42.8100,0.034,-0.084,-0.945,0.47,-0.95,1.6,0.01,-0.09,0.01,101823.448
2022-10-03 7:2:42.8200,-0.032,-0.089,-0.956,-0.09,-0.6,-0.62,0.03,0.02,0.0,101823.448
2022-10-03 7:2:42.8290,-0.035,-0.034,-1.062,0.51,-0.68,0.37,0.04,-0.02,0.01,101823.448
2022-10-03 7:2:42.8400,-0.015,-0.081,-0.948,0.51,-0.68,0.37,0.04,0.0,0.01,101823.448
2022-10-03 7:2:42.8490,-0.009,-0.094,-0.923,0.21,-0.14,-0.43,-0.02,-0.01,0.01,101823.448
2022-10-03 7:2:42.8590,0.018,-0.056,-0.926,0.21,-0.14,-0.43,0.01,-0.02,0.0,101823.448
2022-10-03 7:2:42.8690,0.027,-0.012,-1.047,-0.02,-0.32,-1.09,0.02,0.02,0.0,101823.448
2022-10-03 7:2:42.8790,0.058,-0.041,-0.93,-0.16,-0.88,0.39,-0.02,-0.06,-0.0,101823.448
2022-10-03 7:2:42.8890,0.054,-0.051,-0.936,-0.37,-0.83,-0.15,-0.01,-0.03,0.0,101823.448
2022-10-03 7:2:42.9000,-0.0,-0.01,-1.015,-0.59,-0.53,-0.84,0.01,-0.0,-0.0,101823.448
2022-10-03 7:2:42.9090,0.001,-0.03,-0.936,-0.11,-0.86,0.05,-0.02,-0.05,-0.0,101823.448
2022-10-03 7:2:42.9190,0.011,-0.037,-0.952,0.12,-0.91,-0.23,-0.02,-0.01,-0.0,101823.448
2022-10-03 7:2:42.9290,-0.005,-0.017,-0.984,-0.07,-0.68,-0.6,-0.01,-0.02,-0.0,101823.448
2022-10-03 7:2:42.9390,-0.017,-0.021,-0.967,0.07,-0.86,-0.2,-0.01,-0.01,0.0,101823.448
2022-10-03 7:2:42.9480,-0.017,-0.03,-0.948,0.24,-0.81,-0.42,-0.02,-0.01,0.0,101823.448
2022-10-03 7:2:42.9590,-0.014,-0.026,-0.955,0.18,-0.81,-0.43,-0.02,-0.0,-0.0,101823.448
2022-10-03 7:2:42.9690,-0.034,-0.026,-0.956,0.3262508425489068,-0.81,-0.36,-0.02,0.0,-0.0,101823.448
2022-10-03 7:2:42.9780,-0.026,-0.024,-0.96,0.39,-0.84,-0.36,-0.03,0.01,-0.0,101823.448
2022-10-03 7:2:42.9890,-0.012,-0.031,-0.962,0.21,-0.79,-0.34,-0.03,-0.0,-0.01,101823.448
2022-10-03 7:2:42.9990,-0.012,-0.029,-0.978,0.21,-0.79,-0.34,-0.03,0.01,-0.01,101823.448
2022-10-03 7:2:43.0080,-0.012,-0.025,-0.973,0.17,-0.77,-0.21,-0.04,0.01,-0.01,101823.448
2022-10-03 7:2:43.0180,-0.016,-0.027,-0.963,0.18,-0.82,-0.18,-0.04,0.01,-0.01,101823.448
2022-10-03 7:2:43.0280,-0.006,-0.027,-0.967,0.2,-0.81,-0.28,-0.05,0.01,-0.02,101823.448
2022-10-03 7:2:43.0380,-0.005,-0.025,-0.964,0.18,-0.78,-0.29,-0.05,0.02,-0.02,101823.448
2022-10-03 7:2:43.0480,-0.01,-0.026,-0.959,0.1,-0.81,-0.27,-0.05,0.02,-0.02,101823.448
2022-10-03 7:2:43.0580,-0.012,-0.024,-0.959,0.16,-0.8,-0.35,-0.06,0.02,-0.02,101823.448
2022-10-03 7:2:43.0680,-0.014,-0.022,-0.966,0.18,-0.8,-0.36,-0.06,0.03,-0.02,101823.448
2022-10-03 7:2:43.0780,-0.016,-0.02,-0.971,0.21,-0.81,-0.32,-0.06,0.03,-0.02,101823.448
2022-10-03 7:2:43.0880,-0.008,-0.019,-0.971,0.23,-0.83,-0.24,-0.06,0.02,-0.03,101823.448
2022-10-03 7:2:43.0980,0.0,-0.017,-0.987,0.1,-0.85,-0.13,-0.06,0.03,-0.02,101823.448
2022-10-03 7:2:43.1080,0.004,-0.015,-0.99,0.06,-0.86,-0.06,-0.06,0.03,-0.02,101823.448
2022-10-03 7:2:43.1170,-0.001,-0.016,-0.992,0.06,-0.86,-0.06,-0.06,0.04,-0.02,101823.448
2022-10-03 7:2:43.1260,-0.006,-0.013,-0.997,0.16,-0.85,-0.03,-0.06,0.05,-0.02,101823.448
2022-10-03 7:2:43.1360,-0.0,-0.008,-1.001,0.16,-0.85,-0.03,-0.06,0.04,-0.02,101823.151
2022-10-03 7:2:43.1460,-0.001,-0.016,-0.999,0.13,-0.93,0.07,-0.06,0.05,-0.02,101823.151
2022-10-03 7:2:43.1560,0.004,-0.009,-0.997,0.09,-0.88,0.05,-0.06,0.04,-0.02,101823.151
2022-10-03 7:2:43.1670,0.016,-0.01,-0.997,0.13,-0.85,-0.02,-0.06,0.04,-0.02,101823.151
2022-10-03 7:2:43.1780,0.024,-0.016,-0.987,-0.08,-0.83,-0.05,-0.06,0.03,-0.02,101823.151
2022-10-03 7:2:43.1870,0.024,-0.013,-0.991,-0.13,-0.83,-0.07,-0.06,0.03,-0.02,101823.151
2022-10-03 7:2:43.1970,0.015,-0.012,-0.996,-0.13,-0.83,-0.07,-0.06,0.03,-0.02,101823.151
2022-10-03 7:2:43.2070,0.019,-0.015,-0.998,-0.05,-0.86,-0.01,-0.05,0.02,-0.02,101823.151
2022-10-03 7:2:43.2170,0.026,-0.016,-1.004,-0.12,-0.8,0.08,-0.05,0.01,-0.02,101823.151
2022-10-03 7:2:43.2270,0.025,-0.016,-1.007,-0.12,-0.8,0.08,-0.05,0.02,-0.01,101823.151
2022-10-03 7:2:43.2370,0.036,-0.021,-1.007,-0.1,-0.8,0.11,-0.05,0.0,-0.01,101823.151
2022-10-03 7:2:43.2470,0.035,-0.033,-1.002,-0.19,-0.77,0.1,-0.05,-0.01,-0.01,101823.151
2022-10-03 7:2:43.2570,0.039,-0.039,-1.012,-0.25,-0.54,0.09,-0.05,-0.01,-0.01,101823.151
2022-10-03 7:2:43.2680,0.026,-0.028,-1.019,-0.25,-0.54,0.09,-0.05,-0.02,-0.0,101823.151
2022-10-03 7:2:43.2760,0.017,-0.024,-1.021,-0.16,-0.63,0.22,-0.04,-0.01,-0.0,101823.151
2022-10-03 7:2:43.2860,0.014,-0.026,-1.015,-0.07,-0.68,0.24,-0.04,-0.03,-0.0,101823.151
2022-10-03 7:2:43.2960,0.02,-0.023,-1.016,0.01,-0.67,0.2,-0.03,-0.02,0.0,101823.151
2022-10-03 7:2:43.3060,0.03,-0.025,-1.006,-0.11,-0.68,0.13,-0.03,-0.05,0.0,101823.151
2022-10-03 7:2:43.3160,0.04,-0.03,-1.007,-0.11,-0.68,0.13,-0.03,-0.04,0.0,101823.151
2022-10-03 7:2:43.3260,0.034,-0.028,-1.015,-0.25,-0.63,0.08,-0.03,-0.06,0.01,101823.151
2022-10-03 7:2:43.3350,0.025,-0.024,-1.018,-0.24,-0.61,0.16,-0.02,-0.06,0.01,101823.151
2022-10-03 7:2:43.3460,0.015,-0.018,-1.022,-0.07,-0.71,0.23,-0.02,-0.07,0.01,101823.151
2022-10-03 7:2:43.3560,0.009,-0.018,-1.023,-0.07,-0.71,0.23,-0.02,-0.07,0.01,101823.151
2022-10-03 7:2:43.3660,0.003,-0.022,-1.023,0.01,-0.74,0.26,-0.02,-0.08,0.01,101823.151
2022-10-03 7:2:43.3750,-0.002,-0.021,-1.026,0.05,-0.69,0.25,-0.01,-0.08,0.01,101823.151
2022-10-03 7:2:43.3860,0.003,-0.019,-1.026,0.1,-0.69,0.31,-0.01,-0.09,0.01,101823.151
2022-10-03 7:2:43.3950,0.001,-0.015,-1.028,0.08,-0.71,0.28,-0.01,-0.1,0.01,101823.151
2022-10-03 7:2:43.4060,-0.009,-0.008,-1.03,0.13,-0.79,0.33,-0.0,-0.09,0.02,101823.151
2022-10-03 7:2:43.4160,-0.014,-0.006,-1.027,0.13,-0.79,0.33,0.0,-0.1,0.01,101823.151
2022-10-03 7:2:43.4260,-0.009,-0.009,-1.028,0.2,-0.84,0.32,0.01,-0.1,0.02,101823.151
2022-10-03 7:2:43.4350,-0.004,-0.016,-1.029,0.1,-0.76,0.31,0.01,-0.1,0.02,101823.151
2022-10-03 7:2:43.4460,-0.005,-0.02,-1.029,0.1,-0.76,0.31,0.01,-0.1,0.01,101823.151
2022-10-03 7:2:43.4560,-0.004,-0.017,-1.032,0.08,-0.71,0.32,0.01,-0.1,0.02,101823.151
2022-10-03 7:2:43.4650,-0.0,-0.01,-1.035,0.08,-0.72,0.33,0.02,-0.11,0.01,101823.151
2022-10-03 7:2:43.4750,0.003,-0.007,-1.036,0.04,-0.78,0.38,0.03,-0.11,0.02,101823.151
2022-10-03 7:2:43.4850,0.004,-0.008,-1.034,-0.03,-0.84,0.38,0.03,-0.11,0.02,101823.151
2022-10-03 7:2:43.4950,0.007,-0.014,-1.03,-0.06,-0.8,0.35,0.04,-0.1,0.02,101823.151
2022-10-03 7:2:43.5050,0.008,-0.022,-1.021,-0.06,-0.8,0.35,0.04,-0.1,0.02,101823.151
2022-10-03 7:2:43.5150,0.003,-0.03,-1.016,-0.09,-0.73,0.29,0.04,-0.09,0.02,101823.151
2022-10-03 7:2:43.5250,-0.002,-0.032,-1.022,-0.08,-0.65,0.21,0.04,-0.09,0.02,101823.151
2022-10-03 7:2:43.5350,-0.001,-0.028,-1.027,-0.02,-0.64,0.29,0.05,-0.09,0.02,101823.151
2022-10-03 7:2:43.5450,0.006,-0.025,-1.025,-0.02,-0.64,0.29,0.05,-0.08,0.02,101823.151
2022-10-03 7:2:43.5550,0.005,-0.03,-1.022,-0.08,-0.68,0.31,0.06,-0.07,0.03,101823.151
2022-10-03 7:2:43.5650,0.008,-0.04,-1.016,-0.11,-0.68,0.27,0.06,-0.07,0.02,101823.151
2022-10-03 7:2:43.5750,0.011,-0.051,-1.011,-0.13,-0.59,0.22,0.06,-0.06,0.02,101823.151
2022-10-03 7:2:43.5850,0.013,-0.062,-1.006,-0.17,-0.39,0.12,0.06,-0.05,0.03,101823.151
